path,filename,ext,size_bytes,width,height,mode,format,dpi
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_CRITBETAwJET_Rhigh_0_0.000.png,output_Ma-0.5_5000_model_CRITBETAwJET_Rhigh_0_0.000.png,png,119612,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_CRITBETAwJET_Rhigh_0_1.000.png,output_Ma-0.5_5000_model_CRITBETAwJET_Rhigh_0_1.000.png,png,100447,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETA_Rhigh_10_0.000.png,output_Ma-0.5_5000_model_RBETA_Rhigh_10_0.000.png,png,98463,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETA_Rhigh_10_1.000.png,output_Ma-0.5_5000_model_RBETA_Rhigh_10_1.000.png,png,87633,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETA_Rhigh_160_0.000.png,output_Ma-0.5_5000_model_RBETA_Rhigh_160_0.000.png,png,116791,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETA_Rhigh_160_1.000.png,output_Ma-0.5_5000_model_RBETA_Rhigh_160_1.000.png,png,104582,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETA_Rhigh_1_0.000.png,output_Ma-0.5_5000_model_RBETA_Rhigh_1_0.000.png,png,94729,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETA_Rhigh_1_1.000.png,output_Ma-0.5_5000_model_RBETA_Rhigh_1_1.000.png,png,83943,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETA_Rhigh_20_0.000.png,output_Ma-0.5_5000_model_RBETA_Rhigh_20_0.000.png,png,96958,800,400,RGBA,PNG,"100.00,100.00"
/work/vmo703/ipole_outputs/M87/images/output_Ma-0.5_5000_model_RBETA_Rhigh_20_1.000.png,output_Ma-0.5_5000_model_RBETA_Rhigh_20_1.000.png,png,89133,800,400,RGBA,PNG,"100.00,100.00"
