timestamp_utc,row_index,state,model,spin,dump_index,pos,iteration,M_unit,flux_Jy,target_flux_Jy,freq_target_Hz,p_factor,Ns,converged,resumed_trial,spec_path,par_path,log_path
2025-11-27T22:03:10,2,SANE,RBETAwJET,-0.5,4000,0,2,1.29031517e+29,3.99209542e-01,5.00000000e-01,2.30000000e+11,3.000,2.000e+05,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos0_trial02.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos0_trial02.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos0_trial02.log
2025-11-27T22:56:31,2,SANE,RBETAwJET,-0.5,4000,0,3,1.39086666e+29,4.78817185e-01,5.00000000e-01,2.30000000e+11,3.000,2.000e+05,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos0_trial03.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos0_trial03.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos0_trial03.log
2025-11-27T22:56:31,2,SANE,RBETAwJET,-0.5,4000,0,3,1.39086666e+29,4.78817185e-01,5.00000000e-01,2.30000000e+11,3.000,2.000e+05,1,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos0_trial03.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos0_trial03.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos0_trial03.log
2025-11-27T23:12:49,2,SANE,RBETAwJET,-0.5,4000,0,0,1.39086666e+29,4.78817185e-01,5.00000000e-01,2.30000000e+11,3.000,2.000e+05,1,1,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos0.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos0.log
2025-11-28T00:42:02,3,SANE,RBETAwJET,-0.5,4000,1,1,3.73000000e+28,1.43547945e-02,5.00000000e-01,2.30000000e+11,3.000,2.000e+05,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos1_trial01.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos1_trial01.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos1_trial01.log
2025-11-28T01:45:26,3,SANE,RBETAwJET,-0.5,4000,1,2,1.21814739e+29,3.55308886e-01,5.00000000e-01,2.30000000e+11,3.000,2.000e+05,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos1_trial02.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos1_trial02.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos1_trial02.log
2025-11-28T03:03:31,3,SANE,RBETAwJET,-0.5,4000,1,3,1.36506863e+29,4.45782759e-01,5.00000000e-01,2.30000000e+11,3.000,2.000e+05,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos1_trial03.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos1_trial03.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos1_trial03.log
2025-11-28T04:41:43,3,SANE,RBETAwJET,-0.5,4000,1,4,1.41830641e+29,5.17635979e-01,5.00000000e-01,2.30000000e+11,3.000,2.000e+05,0,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos1_trial04.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos1_trial04.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos1_trial04.log
2025-11-28T04:41:43,3,SANE,RBETAwJET,-0.5,4000,1,4,1.41830641e+29,5.17635979e-01,5.00000000e-01,2.30000000e+11,3.000,2.000e+05,1,0,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.5_4000_RBETAwJET_pos1_trial04.h5,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos1_trial04.par,/work/vmo703/igrmonty/logs/SANE_RBETAwJET_a-0.5_t4000_pos1_trial04.log
2025-12-01T15:42:41,0,SANE,RBETA,-0.5,4000,0,0,1.41069135e+29,5.17635979e-01,5.00000000e-01,2.30000000e+11,3.000,2.000e+05,1,1,/work/vmo703/igrmonty_outputs/m87/spectrum_Sa-0.h5,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0.par,/work/vmo703/igrmonty/logs/SANE_RBETA_a-0.5_t4000_pos0.log
