dump_index,timestep,MAD/SANE,model,spin,pos,MunitOffset,MunitSlope,Munit,MunitUsed,notes
5800,29000,SANE,CRITBETAwJET,-0.5,1,1.5e+27,18.0,1.83e+27,1.248e+28,
6000,30000,SANE,RBETA,-0.5,0,3.5e+28,35.0,1.83e+27,9.905e+28,
6000,30000,SANE,RBETA,-0.5,1,3.5e+28,35.0,1.83e+27,5.635000000000001e+28,
6000,30000,SANE,RBETAwJET,-0.5,0,1.8e+28,22.0,1.83e+27,5.826e+28,
6000,30000,SANE,RBETAwJET,-0.5,1,1.8e+28,22.0,1.83e+27,3.1420000000000003e+28,
6000,30000,SANE,CRITBETA,-0.5,0,2.8e+28,25.0,1.83e+27,7.375000000000001e+28,
6000,30000,SANE,CRITBETA,-0.5,1,2.8e+28,25.0,1.83e+27,4.325000000000001e+28,
6000,30000,SANE,CRITBETAwJET,-0.5,0,1.5e+28,20.0,1.83e+27,5.160000000000001e+28,
6000,30000,SANE,CRITBETAwJET,-0.5,1,1.5e+28,20.0,1.83e+27,2.72e+28,
4000,20000,SANE,RBETA,0.94,0,1.5e+27,0.72,1.83e+27,2.8176e+27,
4000,20000,SANE,RBETA,0.94,1,1.5e+27,0.72,1.83e+27,1.9391999999999998e+27,
4000,20000,SANE,RBETAwJET,0.94,0,1.5e+27,0.72,1.83e+27,2.8176e+27,
4000,20000,SANE,RBETAwJET,0.94,1,1.5e+27,0.72,1.83e+27,1.9391999999999998e+27,
4000,20000,SANE,CRITBETA,0.94,0,1.5e+27,1.1,1.83e+27,3.513e+27,
4000,20000,SANE,CRITBETA,0.94,1,1.5e+27,1.1,1.83e+27,2.1709999999999998e+27,
4000,20000,SANE,CRITBETAwJET,0.94,0,1.5e+27,1.1,1.83e+27,3.513e+27,
4000,20000,SANE,CRITBETAwJET,0.94,1,1.5e+27,1.1,1.83e+27,2.1709999999999998e+27,
5000,25000,SANE,RBETA,0.94,0,1.5e+27,1.0,1.83e+27,3.33e+27,
5000,25000,SANE,RBETA,0.94,1,1.5e+27,1.0,1.83e+27,2.11e+27,
5000,25000,SANE,RBETAwJET,0.94,0,1.5e+27,1.5,1.83e+27,4.2449999999999996e+27,
5000,25000,SANE,RBETAwJET,0.94,1,1.5e+27,1.5,1.83e+27,2.4149999999999998e+27,
5000,25000,SANE,CRITBETA,0.94,0,1e+27,0.7,1.83e+27,2.281e+27,
5000,25000,SANE,CRITBETA,0.94,1,1e+27,0.7,1.83e+27,1.427e+27,
5000,25000,SANE,CRITBETAwJET,0.94,0,1.2e+27,0.8,1.83e+27,2.664e+27,
5000,25000,SANE,CRITBETAwJET,0.94,1,1.2e+27,0.8,1.83e+27,1.6880000000000001e+27,
6000,30000,SANE,RBETA,0.94,0,1.5e+27,1.5,1.83e+27,4.2449999999999996e+27,
6000,30000,SANE,RBETA,0.94,1,1.5e+27,1.5,1.83e+27,2.4149999999999998e+27,
6000,30000,SANE,RBETAwJET,0.94,0,2e+27,1.9,1.83e+27,5.477e+27,
6000,30000,SANE,RBETAwJET,0.94,1,2e+27,1.9,1.83e+27,3.159e+27,
6000,30000,SANE,CRITBETA,0.94,0,1.3e+27,0.85,1.83e+27,2.8555000000000005e+27,
6000,30000,SANE,CRITBETA,0.94,1,1.3e+27,0.85,1.83e+27,1.8185e+27,
6000,30000,SANE,CRITBETAwJET,0.94,0,1.2e+27,1.2,1.83e+27,3.396e+27,
6000,30000,SANE,CRITBETAwJET,0.94,1,1.2e+27,1.2,1.83e+27,1.9320000000000002e+27,
4000,20000,MAD,RBETA,-0.5,0,1.3e+25,2.8,7.49e+24,3.3971999999999996e+25,
4000,20000,MAD,RBETA,-0.5,1,1.3e+25,2.8,7.49e+24,1.9990666666666665e+25,
4000,20000,MAD,RBETAwJET,-0.5,0,8e+24,2.9,7.49e+24,2.9721e+25,
4000,20000,MAD,RBETAwJET,-0.5,1,8e+24,2.9,7.49e+24,1.5240333333333331e+25,
