row_id,dump_index,timestep,state,model,run_tag,spin,Rhigh,Rhigh_used,Rlow_used,f_used,beta_crit_used,Munit,MunitOffset,MunitSlope,MunitUsed_pos0,MunitUsed_pos1,converged,notes
11,4000,20000,SANE,CRITBETAWJET,Sa-0.5_4000_CRITBETAWJET_f0.5_bc0.01,-0.5,,,,0.5,0.01,1.83e+27,9.211318463166727e+28,137.50185556195288,3.4374158031004104e+29,1.759893165244585e+29,True,
18,4000,20000,MAD,CRITBETA,Ma-0.5_4000_CRITBETA_f0.5_bc0.1,-0.5,,,,0.5,0.1,7.49e+24,1.4375273555996123e+25,1.0807346998378484,2.2469976457781607e+25,1.7073507856591283e+25,True,
16,4000,20000,MAD,CRITBETA,Ma-0.5_4000_CRITBETA_f0.5_bc0.1,-0.5,,,,0.5,0.1,7.49e+24,1.4375273555996123e+25,1.0807346998378484,2.2469976457781607e+25,1.7073507856591283e+25,True,
85,6000,30000,MAD,CRITBETA,Ma+0.94_6000_CRITBETA_f0.5_bc0.01,0.94,,,,0.5,0.01,7.49e+24,6.948146788933091e+24,3.6017544983107412,3.392528798128054e+25,1.5940527186382238e+25,True,
70,6000,30000,SANE,CRITBETA,Sa+0.94_6000_CRITBETA_f0.5_bc0.1,0.94,,,,0.5,0.1,1.83e+27,6.953080179702595e+26,1.4752074188278965,3.3949375944253103e+27,1.5951845434552764e+27,True,
87,6000,30000,MAD,CRITBETA,Ma+0.94_6000_CRITBETA_f0.5_bc0.01,0.94,,,,0.5,0.01,7.49e+24,6.948146788933091e+24,3.6017544983107412,3.392528798128054e+25,1.5940527186382238e+25,True,
84,6000,30000,MAD,CRITBETA,Ma+0.94_6000_CRITBETA_f0.5_bc0.1,0.94,,,,0.5,0.1,7.49e+24,8.073770645404607e+24,3.1509038214863683,3.1674040268337506e+25,1.5940527186382238e+25,True,
46,5000,25000,SANE,CRITBETAWJET,Sa+0.94_5000_CRITBETAWJET_f0.5_bc0.1,0.94,,,,0.5,0.1,1.83e+27,1.814377265741418e+27,2.221763462474799,5.880204402070301e+27,3.1696529778510455e+27,True,
86,6000,30000,MAD,CRITBETA,Ma+0.94_6000_CRITBETA_f0.5_bc0.1,0.94,,,,0.5,0.1,7.49e+24,8.073770645404607e+24,3.1509038214863683,3.1674040268337506e+25,1.5940527186382238e+25,True,
69,6000,30000,SANE,CRITBETA,Sa+0.94_6000_CRITBETA_f0.5_bc0.01,0.94,,,,0.5,0.01,1.83e+27,8.653757859950551e+26,1.38227421225697,3.3949375944253103e+27,1.7085630554718066e+27,True,
49,5000,25000,MAD,CRITBETA,Ma-0.5_5000_CRITBETA_f0.5_bc0.01,-0.5,,,,0.5,0.01,7.49e+24,1.0490337372085662e+25,5.437942082468383,5.122052356977385e+25,2.4067066104648388e+25,True,
56,5000,25000,MAD,CRITBETAWJET,Ma-0.5_5000_CRITBETAWJET_f0.5_bc0.1,-0.5,,,,0.5,0.1,7.49e+24,3.562182823133421e+25,11.377008950774725,1.208356252726369e+26,6.402642724510176e+25,True,
81,6000,30000,MAD,CRITBETA,Ma-0.5_6000_CRITBETA_f0.5_bc0.01,-0.5,,,,0.5,0.01,7.49e+24,1.4881947408472306e+25,7.1689171004683425,6.857713649098019e+25,3.278034376930826e+25,True,
80,6000,30000,MAD,CRITBETA,Ma-0.5_6000_CRITBETA_f0.5_bc0.1,-0.5,,,,0.5,0.1,7.49e+24,1.4881947408472306e+25,7.1689171004683425,6.857713649098019e+25,3.278034376930826e+25,True,
82,6000,30000,MAD,CRITBETA,Ma-0.5_6000_CRITBETA_f0.5_bc0.1,-0.5,,,,0.5,0.1,7.49e+24,1.4881947408472306e+25,7.1689171004683425,6.857713649098019e+25,3.278034376930826e+25,True,
88,6000,30000,MAD,CRITBETAWJET,Ma-0.5_6000_CRITBETAWJET_f0.5_bc0.1,-0.5,,,,0.5,0.1,7.49e+24,4.195254289949684e+25,16.37257652573198,1.6458314107722937e+26,8.2829408958741e+25,True,
71,6000,30000,SANE,CRITBETA,Sa+0.94_6000_CRITBETA_f0.5_bc0.01,0.94,,,,0.5,0.01,1.83e+27,8.653757859950551e+26,1.38227421225697,3.3949375944253103e+27,1.7085630554718066e+27,True,
90,6000,30000,MAD,CRITBETAWJET,Ma-0.5_6000_CRITBETAWJET_f0.5_bc0.1,-0.5,,,,0.5,0.1,7.49e+24,4.195254289949684e+25,16.37257652573198,1.6458314107722937e+26,8.2829408958741e+25,True,
47,5000,25000,SANE,CRITBETAWJET,Sa+0.94_5000_CRITBETAWJET_f0.5_bc0.01,0.94,,,,0.5,0.01,1.83e+27,1.719513236442237e+27,2.746597308168973,6.745786310391458e+27,3.3949375944253103e+27,True,
89,6000,30000,MAD,CRITBETAWJET,Ma-0.5_6000_CRITBETAWJET_f0.5_bc0.01,-0.5,,,,0.5,0.01,7.49e+24,5.13141472561991e+25,17.506531461474015,1.8243806790263947e+26,9.502212080501253e+25,True,
91,6000,30000,MAD,CRITBETAWJET,Ma-0.5_6000_CRITBETAWJET_f0.5_bc0.01,-0.5,,,,0.5,0.01,7.49e+24,5.13141472561991e+25,17.506531461474015,1.8243806790263947e+26,9.502212080501253e+25,True,
51,5000,25000,MAD,CRITBETA,Ma-0.5_5000_CRITBETA_f0.5_bc0.01,-0.5,,,,0.5,0.01,7.49e+24,1.0490337372085662e+25,5.437942082468383,5.122052356977385e+25,2.4067066104648388e+25,True,
44,5000,25000,SANE,CRITBETAWJET,Sa+0.94_5000_CRITBETAWJET_f0.5_bc0.1,0.94,,,,0.5,0.1,1.83e+27,1.814377265741418e+27,2.221763462474799,5.880204402070301e+27,3.1696529778510455e+27,True,
50,5000,25000,MAD,CRITBETA,Ma-0.5_5000_CRITBETA_f0.5_bc0.1,-0.5,,,,0.5,0.1,7.49e+24,1.0490337372085662e+25,5.437942082468383,5.122052356977385e+25,2.4067066104648388e+25,True,
93,6000,30000,MAD,CRITBETAWJET,Ma+0.94_6000_CRITBETAWJET_f0.5_bc0.01,0.94,,,,0.5,0.01,7.49e+24,2.1478924210117737e+25,8.38245565144915,8.426351703947188e+25,4.240712181990245e+25,True,
92,6000,30000,MAD,CRITBETAWJET,Ma+0.94_6000_CRITBETAWJET_f0.5_bc0.1,0.94,,,,0.5,0.1,7.49e+24,1.937681567285322e+25,7.562077898086063,7.601677912951783e+25,3.825680349174142e+25,True,
94,6000,30000,MAD,CRITBETAWJET,Ma+0.94_6000_CRITBETAWJET_f0.5_bc0.1,0.94,,,,0.5,0.1,7.49e+24,1.937681567285322e+25,7.562077898086063,7.601677912951783e+25,3.825680349174142e+25,True,
95,6000,30000,MAD,CRITBETAWJET,Ma+0.94_6000_CRITBETAWJET_f0.5_bc0.01,0.94,,,,0.5,0.01,7.49e+24,2.1478924210117737e+25,8.38245565144915,8.426351703947188e+25,4.240712181990245e+25,True,
57,5000,25000,MAD,CRITBETAWJET,Ma-0.5_5000_CRITBETAWJET_f0.5_bc0.01,-0.5,,,,0.5,0.01,7.49e+24,4.132951262977849e+25,12.36516115520695,1.3394456968227854e+26,7.220119831394516e+25,True,
63,5000,25000,MAD,CRITBETAWJET,Ma+0.94_5000_CRITBETAWJET_f0.5_bc0.01,0.94,,,,0.5,0.01,7.49e+24,1.7322293059106729e+25,5.532447181024962,5.8760322444983695e+25,3.1134969521065717e+25,True,
67,6000,30000,SANE,CRITBETA,Sa-0.5_6000_CRITBETA_f0.5_bc0.01,-0.5,,,,0.5,0.01,1.83e+27,1.4264635803484005e+28,30.264711495212094,6.964905783972214e+28,3.2726109815563385e+28,True,
45,5000,25000,SANE,CRITBETAWJET,Sa+0.94_5000_CRITBETAWJET_f0.5_bc0.01,0.94,,,,0.5,0.01,1.83e+27,1.719513236442237e+27,2.746597308168973,6.745786310391458e+27,3.3949375944253103e+27,True,
78,6000,30000,SANE,CRITBETAWJET,Sa+0.94_6000_CRITBETAWJET_f0.5_bc0.1,0.94,,,,0.5,0.1,1.83e+27,1.719513236442237e+27,2.746597308168973,6.745786310391458e+27,3.3949375944253103e+27,True,
52,5000,25000,MAD,CRITBETA,Ma+0.94_5000_CRITBETA_f0.5_bc0.1,0.94,,,,0.5,0.1,7.49e+24,4.992704461357304e+24,1.9484739234940716,1.95867741483279e+25,9.857394357014168e+24,True,
59,5000,25000,MAD,CRITBETAWJET,Ma-0.5_5000_CRITBETAWJET_f0.5_bc0.01,-0.5,,,,0.5,0.01,7.49e+24,4.132951262977849e+25,12.36516115520695,1.3394456968227854e+26,7.220119831394516e+25,True,
55,5000,25000,MAD,CRITBETA,Ma+0.94_5000_CRITBETA_f0.5_bc0.01,0.94,,,,0.5,0.01,7.49e+24,4.992704461357304e+24,1.9484739234940716,1.95867741483279e+25,9.857394357014168e+24,True,
8,4000,20000,SANE,CRITBETAWJET,Sa-0.5_4000_CRITBETAWJET_f0.5_bc0.1,-0.5,,,,0.5,0.1,1.83e+27,1.8183335145345573e+29,-37.816119012389514,1.1262985366078291e+29,1.5876551885589812e+29,True,
64,6000,30000,SANE,CRITBETA,Sa-0.5_6000_CRITBETA_f0.5_bc0.1,-0.5,,,,0.5,0.1,1.83e+27,1.4264635803484005e+28,30.264711495212094,6.964905783972214e+28,3.2726109815563385e+28,True,
