job_id,dump_index,timestep,state,model,spin,Rhigh,f,beta_crit,pos,Munit,notes
198,6000,30000,SANE,RBETA,0.94,40,0.5,,0,1.83e27,
199,6000,30000,SANE,RBETA,0.94,40,0.5,,1,1.83e27,
200,6000,30000,SANE,RBETA,0.94,80,0.5,,0,1.83e27,
201,6000,30000,SANE,RBETA,0.94,80,0.5,,1,1.83e27,
202,6000,30000,SANE,RBETA,0.94,160,0.5,,0,1.83e27,
203,6000,30000,SANE,RBETA,0.94,160,0.5,,1,1.83e27,
204,6000,30000,SANE,RBETAwJET,-0.5,40,0.5,,0,1.83e27,
205,6000,30000,SANE,RBETAwJET,-0.5,40,0.5,,1,1.83e27,
206,6000,30000,SANE,RBETAwJET,-0.5,80,0.5,,0,1.83e27,
207,6000,30000,SANE,RBETAwJET,-0.5,80,0.5,,1,1.83e27,
208,6000,30000,SANE,RBETAwJET,-0.5,160,0.5,,0,1.83e27,
209,6000,30000,SANE,RBETAwJET,-0.5,160,0.5,,1,1.83e27,
210,6000,30000,SANE,RBETAwJET,0.94,40,0.5,,0,1.83e27,
211,6000,30000,SANE,RBETAwJET,0.94,40,0.5,,1,1.83e27,
212,6000,30000,SANE,RBETAwJET,0.94,80,0.5,,0,1.83e27,
213,6000,30000,SANE,RBETAwJET,0.94,80,0.5,,1,1.83e27,
214,6000,30000,SANE,RBETAwJET,0.94,160,0.5,,0,1.83e27,
215,6000,30000,SANE,RBETAwJET,0.94,160,0.5,,1,1.83e27,
216,6000,30000,SANE,CRITBETA,-0.5,,0.5,0.1,0,1.83e27,
217,6000,30000,SANE,CRITBETA,-0.5,,0.5,0.1,1,1.83e27,
218,6000,30000,SANE,CRITBETA,-0.5,,0.5,0.1,0,1.83e27,
219,6000,30000,SANE,CRITBETA,-0.5,,0.5,0.1,1,1.83e27,
220,6000,30000,SANE,CRITBETA,-0.5,,0.5,0.1,0,1.83e27,
221,6000,30000,SANE,CRITBETA,-0.5,,0.5,0.1,1,1.83e27,
222,6000,30000,SANE,CRITBETA,0.94,,0.5,0.1,0,1.83e27,
223,6000,30000,SANE,CRITBETA,0.94,,0.5,0.1,1,1.83e27,
224,6000,30000,SANE,CRITBETA,0.94,,0.5,0.1,0,1.83e27,
225,6000,30000,SANE,CRITBETA,0.94,,0.5,0.1,1,1.83e27,
226,6000,30000,SANE,CRITBETA,0.94,,0.5,0.1,0,1.83e27,
227,6000,30000,SANE,CRITBETA,0.94,,0.5,0.1,1,1.83e27,
228,6000,30000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,0,1.83e27,
229,6000,30000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,1,1.83e27,
230,6000,30000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,0,1.83e27,
231,6000,30000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,1,1.83e27,
232,6000,30000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,0,1.83e27,
233,6000,30000,SANE,CRITBETAwJET,-0.5,,0.5,0.1,1,1.83e27,
234,6000,30000,SANE,CRITBETAwJET,0.94,,0.5,0.1,0,1.83e27,
235,6000,30000,SANE,CRITBETAwJET,0.94,,0.5,0.1,1,1.83e27,
236,6000,30000,SANE,CRITBETAwJET,0.94,,0.5,0.1,0,1.83e27,
237,6000,30000,SANE,CRITBETAwJET,0.94,,0.5,0.1,1,1.83e27,
238,6000,30000,SANE,CRITBETAwJET,0.94,,0.5,0.1,0,1.83e27,
239,6000,30000,SANE,CRITBETAwJET,0.94,,0.5,0.1,1,1.83e27,
240,6000,30000,MAD,RBETA,-0.5,40,0.5,,0,7.49e24,
241,6000,30000,MAD,RBETA,-0.5,40,0.5,,1,7.49e24,
242,6000,30000,MAD,RBETA,-0.5,80,0.5,,0,7.49e24,
243,6000,30000,MAD,RBETA,-0.5,80,0.5,,1,7.49e24,
244,6000,30000,MAD,RBETA,-0.5,160,0.5,,0,7.49e24,
245,6000,30000,MAD,RBETA,-0.5,160,0.5,,1,7.49e24,
246,6000,30000,MAD,RBETA,0.94,40,0.5,,0,7.49e24,
247,6000,30000,MAD,RBETA,0.94,40,0.5,,1,7.49e24,
248,6000,30000,MAD,RBETA,0.94,80,0.5,,0,7.49e24,
249,6000,30000,MAD,RBETA,0.94,80,0.5,,1,7.49e24,
250,6000,30000,MAD,RBETA,0.94,160,0.5,,0,7.49e24,
251,6000,30000,MAD,RBETA,0.94,160,0.5,,1,7.49e24,
252,6000,30000,MAD,RBETAwJET,-0.5,40,0.5,,0,7.49e24,
253,6000,30000,MAD,RBETAwJET,-0.5,40,0.5,,1,7.49e24,
254,6000,30000,MAD,RBETAwJET,-0.5,80,0.5,,0,7.49e24,
255,6000,30000,MAD,RBETAwJET,-0.5,80,0.5,,1,7.49e24,
256,6000,30000,MAD,RBETAwJET,-0.5,160,0.5,,0,7.49e24,
257,6000,30000,MAD,RBETAwJET,-0.5,160,0.5,,1,7.49e24,
258,6000,30000,MAD,RBETAwJET,0.94,40,0.5,,0,7.49e24,
259,6000,30000,MAD,RBETAwJET,0.94,40,0.5,,1,7.49e24,
260,6000,30000,MAD,RBETAwJET,0.94,80,0.5,,0,7.49e24,
261,6000,30000,MAD,RBETAwJET,0.94,80,0.5,,1,7.49e24,
262,6000,30000,MAD,RBETAwJET,0.94,160,0.5,,0,7.49e24,
263,6000,30000,MAD,RBETAwJET,0.94,160,0.5,,1,7.49e24,
264,6000,30000,MAD,CRITBETA,-0.5,,0.5,0.1,0,7.49e24,
265,6000,30000,MAD,CRITBETA,-0.5,,0.5,0.1,1,7.49e24,
266,6000,30000,MAD,CRITBETA,-0.5,,0.5,0.1,0,7.49e24,
267,6000,30000,MAD,CRITBETA,-0.5,,0.5,0.1,1,7.49e24,
268,6000,30000,MAD,CRITBETA,-0.5,,0.5,0.1,0,7.49e24,
269,6000,30000,MAD,CRITBETA,-0.5,,0.5,0.1,1,7.49e24,
270,6000,30000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
271,6000,30000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
272,6000,30000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
273,6000,30000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
274,6000,30000,MAD,CRITBETA,0.94,,0.5,0.1,0,7.49e24,
275,6000,30000,MAD,CRITBETA,0.94,,0.5,0.1,1,7.49e24,
276,6000,30000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
277,6000,30000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
278,6000,30000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
279,6000,30000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
280,6000,30000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,0,7.49e24,
281,6000,30000,MAD,CRITBETAwJET,-0.5,,0.5,0.1,1,7.49e24,
282,6000,30000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
283,6000,30000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
284,6000,30000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
285,6000,30000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
286,6000,30000,MAD,CRITBETAwJET,0.94,,0.5,0.1,0,7.49e24,
287,6000,30000,MAD,CRITBETAwJET,0.94,,0.5,0.1,1,7.49e24,
