row_id,dump_index,timestep,state,model,spin,Rhigh,Munit,MunitOffset,MunitSlope,MunitUsed_pos0,MunitUsed_pos1,converged,notes
28,4000,20000,SANE,CRITBETA,-0.5,160,1.83e+27,1.937073771542534e+28,18.33393546623353,5.29218396186327e+28,3.055443834982779e+28,True,
34,4000,20000,SANE,CRITBETA,0.94,160,1.83e+27,7.174347302009385e+26,0.6790346468975383,1.9600681340234337e+27,1.1316458648084369e+27,True,
42,4000,20000,SANE,CRITBETAwJET,0.94,40,1.83e+27,9.221820298783968e+26,0.7677332374819962,2.3271338544704496e+27,1.3904993047424144e+27,True,
44,4000,20000,SANE,CRITBETAwJET,0.94,80,1.83e+27,9.221820298783968e+26,0.7677332374819962,2.3271338544704496e+27,1.3904993047424144e+27,True,
36,4000,20000,SANE,CRITBETAwJET,-0.5,40,1.83e+27,3.4372274826747093e+28,19.276930608183086,6.964905783972214e+28,4.613120249773877e+28,True,
38,4000,20000,SANE,CRITBETAwJET,-0.5,80,1.83e+27,3.4372274826747093e+28,19.276930608183086,6.964905783972214e+28,4.613120249773877e+28,True,
40,4000,20000,SANE,CRITBETAwJET,-0.5,160,1.83e+27,3.4372274826747093e+28,19.276930608183086,6.964905783972214e+28,4.613120249773877e+28,True,
46,4000,20000,SANE,CRITBETAwJET,0.94,160,1.83e+27,9.221820298783968e+26,0.7677332374819962,2.3271338544704496e+27,1.3904993047424144e+27,True,
54,4000,20000,MAD,RBETA,0.94,40,7.49e+24,3.306856799818507e+24,1.290547897045712,1.297306054869089e+25,6.528924716109301e+24,True,
48,4000,20000,MAD,RBETA,-0.5,40,7.49e+24,8.073770645404607e+24,3.1509038214863683,3.1674040268337506e+25,1.5940527186382238e+25,True,
52,4000,20000,MAD,RBETA,-0.5,160,7.49e+24,8.647617794246659e+24,3.3748558327148044,3.392528798128054e+25,1.7073507856591283e+25,True,
50,4000,20000,MAD,RBETA,-0.5,80,7.49e+24,6.948146788933091e+24,3.601754498310741,3.392528798128054e+25,1.5940527186382238e+25,True,
56,4000,20000,MAD,RBETA,0.94,80,7.49e+24,3.5418932443185607e+24,1.3822742122569698,1.3895127094123263e+25,6.99297119425346e+24,True,
58,4000,20000,MAD,RBETA,0.94,160,7.49e+24,3.048091809031384e+24,1.5800584987538362,1.4882729964697617e+25,6.99297119425346e+24,True,
