dump_index,timestep,MAD/SANE,model,spin,pos,MunitOffset,MunitSlope,Munit,MunitUsed,notes
2000,10000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,9.611600211260377e+27,Matched 2.40 Jy @ 228 GHz
6000,30000,MAD,CRITBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,1.3882180720835544e+26,Matched 2.40 Jy @ 228 GHz
6000,30000,MAD,CRITBETA,-0.5,0.0,5e+24,3.0,7.5e+24,1.2688059127516341e+26,Matched 2.40 Jy @ 228 GHz
2000,10000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,5.213996055620032e+27,Matched 2.39 Jy @ 228 GHz
2000,10000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,5.603000978205758e+27,Matched 2.42 Jy @ 228 GHz
2000,10000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,1.070707138806458e+28,Matched 2.38 Jy @ 228 GHz
4000,20000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,9.611600211260377e+27,Matched 2.38 Jy @ 228 GHz
3000,15000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,6.241596627246522e+27,Matched 2.35 Jy @ 228 GHz
3000,15000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,6.021028713271907e+27,Matched 2.41 Jy @ 228 GHz
3000,15000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,1.1927397643402208e+28,Matched 2.40 Jy @ 228 GHz
4000,20000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,8.944286425192895e+27,Matched 2.43 Jy @ 228 GHz
3000,15000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,1.070707138806458e+28,Matched 2.42 Jy @ 228 GHz
4000,20000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,1.1099302768000874e+28,Matched 2.36 Jy @ 228 GHz
4200,21000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,9.611600211260377e+27,Matched 2.42 Jy @ 228 GHz
4200,21000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,4.680537167761153e+27,Matched 2.42 Jy @ 228 GHz
4200,21000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,8.323302873351554e+27,Matched 2.37 Jy @ 228 GHz
4200,21000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,5.029741881225023e+27,Matched 2.44 Jy @ 228 GHz
4000,20000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,1.2364333147720927e+28,Matched 2.38 Jy @ 228 GHz
4400,22000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,7.207683340842767e+27,Matched 2.40 Jy @ 228 GHz
6000,30000,MAD,RBETAwJET,-0.5,0.0,5e+24,3.0,7.5e+24,2.75e+25,Matched 2.47 Jy @ 228 GHz
4400,22000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,6.47024458982942e+27,Matched 2.39 Jy @ 228 GHz
4400,22000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,1.070707138806458e+28,Matched 2.41 Jy @ 228 GHz
4400,22000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,9.27194182973326e+27,Matched 2.39 Jy @ 228 GHz
4600,23000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,4.680537167761153e+27,Matched 2.41 Jy @ 228 GHz
4800,24000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,6.241596627246522e+27,Matched 2.36 Jy @ 228 GHz
4600,23000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,7.745432942130783e+27,Matched 2.38 Jy @ 228 GHz
4600,23000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,6.952975487384347e+27,Matched 2.43 Jy @ 228 GHz
4800,24000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,6.952975487384347e+27,Matched 2.41 Jy @ 228 GHz
4800,24000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,8.944286425192895e+27,Matched 2.41 Jy @ 228 GHz
5000,25000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,8.323302873351554e+27,Matched 2.36 Jy @ 228 GHz
5000,25000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,7.745432942130783e+27,Matched 2.42 Jy @ 228 GHz
4800,24000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,9.963701273971242e+27,Matched 2.39 Jy @ 228 GHz
5000,25000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,1.1505902732009394e+28,Matched 2.38 Jy @ 228 GHz
5200,26000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,8.323302873351554e+27,Matched 2.41 Jy @ 228 GHz
5200,26000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,1.2817274879101245e+28,Matched 2.40 Jy @ 228 GHz
5000,25000,SANE,RBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,1.3286809192513666e+28,Matched 2.37 Jy @ 228 GHz
5200,26000,SANE,CRITBETAwJET,0.94,0.0,5e+24,3.0,1.8e+27,9.27194182973326e+27,Matched 2.40 Jy @ 228 GHz
5400,27000,SANE,CRITBETA,0.94,0.0,5e+24,3.0,1.8e+27,6.707268596863044e+27,Matched 2.36 Jy @ 228 GHz
5400,27000,SANE,RBETA,0.94,0.0,5e+24,3.0,1.8e+27,1.032870082971523e+28,Matched 2.39 Jy @ 228 GHz
