Timestep,MAD/SANE,Model,Spin,Positron Ratio,MunitOffsetDerived,MunitSlopeDerived,MunitBase,MunitUsed,Flux I,P/I,V/I,Timestamp,Elapsed (min)
5000,MAD,RBETA,0.94,0.0,5.777917719282526e+24,1.7961422462690995,7.49e+24,1.9231023143838082e+25,0.5191244586712968,,,2025-09-20 16:28:11,265.86
5000,MAD,RBETA,0.94,1.0,5.777917719282526e+24,1.7961422462690995,7.49e+24,1.0262286194134379e+25,0.49999035048182794,,,2025-09-20 17:01:37,299.29
5000,MAD,RBETAWJET,0.94,0.0,5.452677475972135e+24,1.7086016754463103,7.49e+24,1.8250104025064999e+25,0.49417132220365073,,,2025-09-20 21:27:17,564.96
5000,MAD,RBETAWJET,0.94,1.0,5.452677475972135e+24,1.7086016754463103,7.49e+24,9.718486325669757e+24,0.4998901158028222,,,2025-09-20 22:00:25,598.09
5000,MAD,CRITBETA,0.94,0.0,5.155959334508183e+24,1.4663355703773364,7.49e+24,1.6138812756634433e+25,0.49999115697609026,,,2025-09-21 02:26:08,863.81
5000,MAD,CRITBETA,0.94,1.0,5.155959334508183e+24,1.4663355703773364,7.49e+24,8.816910475216933e+24,0.49999995925539914,,,2025-09-21 02:59:21,897.02
5000,MAD,CRITBETAWJET,0.94,0.0,4.751137677741638e+24,1.472329349297536,7.49e+24,1.5778884503980183e+25,0.49894047288927523,,,2025-09-21 07:24:48,1162.47
5000,MAD,CRITBETAWJET,0.94,1.0,4.751137677741638e+24,1.472329349297536,7.49e+24,8.42705328648782e+24,0.49981633758624866,,,2025-09-21 07:57:59,1195.67
4000,SANE,RBETA,-0.5,0.0,4.297726676013116e+28,34.67162503491654,1.83e+27,1.0642634057402843e+29,0.4995193769757701,,,2025-09-20 16:39:04,273.84
4000,SANE,RBETA,-0.5,1.0,4.297726676013116e+28,34.67162503491654,1.83e+27,6.4126958031430245e+28,0.4999986698660942,,,2025-09-20 17:13:09,307.93
4000,SANE,RBETAWJET,-0.5,0.0,3.079768585093663e+28,32.95507877155449,1.83e+27,9.110548000288135e+28,0.4937169792705675,,,2025-09-20 21:46:51,581.63
4000,SANE,RBETAWJET,-0.5,1.0,3.079768585093663e+28,32.95507877155449,1.83e+27,5.090028390158487e+28,0.49920233357810895,,,2025-09-20 22:20:53,615.67
4000,SANE,CRITBETA,-0.5,0.0,3.2470232187562672e+28,18.812515883174182,1.83e+27,6.689713625377142e+28,0.49993628364499615,,,2025-09-21 02:54:22,889.14
4000,SANE,CRITBETA,-0.5,1.0,3.2470232187562672e+28,18.812515883174182,1.83e+27,4.3945866876298925e+28,0.4999998569677159,,,2025-09-21 03:28:30,923.27
