code,run_type,state,model,spin,dump_index,pos,Rhigh,beta_crit,f,Munit,inclination_deg,fovx_dsource,fovy_dsource,distance_cm,distance_mpc,seed,Ns,resolution,n1,n2,n3,N_THBINS,freq_hz,flux_230_jy_or_nearest,flux_230_j17_jy,theta_bin_index_17deg,theta_bin_width_deg,L_unit,T_unit,Thetae_unit,B_unit,Ne_unit,RHO_unit,path,par_path,log_path,notes
IPOLE,image,MAD,RBETAWJET,0.94,4000,1,20,1,,5.496e+24,163,160,160,5.21479582e+25,16.90000229,,,320x320,,,,,2.28e+11,0.3268290429,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh20/pos1/MAD_spin+0.94_t4000_RBETAWJET_pos1.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETAwJET_pos1.par,,
IPOLE,image,MAD,RBETA,0.94,4000,1,20,1,,4.7996e+25,163,160,160,5.21479582e+25,16.90000229,,,320x320,,,,,2.28e+11,9.763524577,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh20/pos1/MAD_spin+0.94_t4000_RBETA_pos1.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETA_pos1.par,,
IPOLE,image,MAD,RBETA,0.94,4000,0,40,1,,1.297306055e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.5117154673,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh40/pos0/Ma+0.94_4000_RBETA_Rhigh40_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETA_pos0.par,,
IPOLE,image,MAD,RBETAWJET,0.94,4000,0,40,1,,2.097891358e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.5121727178,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh40/pos0/Ma+0.94_4000_RBETAwJET_Rhigh40_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETAwJET_pos0.par,,
IPOLE,image,MAD,RBETA,0.94,4000,0,40,1,,1.540788122e+25,163,160,160,5.21479582e+25,16.90000229,,,320x320,,,,,2.28e+11,0.4667172125,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh40/pos0/output_Ma+0.94_4000_model_RBETA_Rhigh_40_0.000.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETA_pos0.par,,
IPOLE,image,MAD,RBETA,0.94,4000,1,40,1,,6.528924716e+24,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.5132290111,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh40/pos1/Ma+0.94_4000_RBETA_Rhigh40_1.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETA_pos1.par,,
IPOLE,image,MAD,RBETAWJET,0.94,4000,1,40,1,,1.130842933e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.4853727734,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh40/pos1/Ma+0.94_4000_RBETAwJET_Rhigh40_1.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETAwJET_pos1.par,,
IPOLE,image,MAD,RBETA,0.94,4000,1,40,1,,8.476626041e+24,163,160,160,5.21479582e+25,16.90000229,,,320x320,,,,,2.28e+11,0.4640524849,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh40/pos1/output_Ma+0.94_4000_model_RBETA_Rhigh_40_1.000.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETA_pos1.par,,
IPOLE,image,MAD,RBETA,0.94,4000,0,80,1,,1.389512709e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.498328301,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh80/pos0/Ma+0.94_4000_RBETA_Rhigh80_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETA_pos0.par,,
IPOLE,image,MAD,RBETAWJET,0.94,4000,0,80,1,,2.577764445e+25,163,160,160,5.21479582e+25,16.90000229,,,160x160,,,,,2.28e+11,0.4996084374,,,,9.157655111e+14,30546.64941,0,,,,/work/vmo703/ipole_outputs/M87/Ma+0.94_4000/RBETA/Rhigh80/pos0/Ma+0.94_4000_RBETAwJET_Rhigh80_0.00.h5,/work/vmo703/ipole_pars/run_Ma+0.94_4000_RBETAwJET_pos0.par,,
